Date,Close
2015-01-02,24.21489906311035
2015-01-05,23.532718658447266
2015-01-06,23.534936904907227
2015-01-07,23.864946365356445
2015-01-08,24.781898498535156
2015-01-09,24.808467864990234
2015-01-12,24.197174072265625
2015-01-13,24.412017822265625
2015-01-14,24.318992614746094
2015-01-15,23.658967971801758
2015-01-16,23.475133895874023
2015-01-20,24.079792022705078
2015-01-21,24.263622283935547
2015-01-22,24.894847869873047
2015-01-23,25.023313522338867
2015-01-26,25.049882888793945
2015-01-27,24.17281723022461
2015-01-28,25.53937339782715
2015-01-29,26.334497451782227
2015-01-30,25.94911766052246
2015-02-02,26.27469825744629
2015-02-03,26.279129028320312
2015-02-04,26.480682373046875
2015-02-05,26.66968536376953
2015-02-06,26.44510269165039
2015-02-09,26.620765686035156
2015-02-10,27.132190704345703
2015-02-11,27.768131256103516
2015-02-12,28.119464874267578
2015-02-13,28.25732421875
2015-02-17,28.424095153808594
2015-02-18,28.62199592590332
2015-02-19,28.561954498291016
2015-02-20,28.79543113708496
2015-02-23,29.573684692382812
2015-02-24,29.389131546020508
2015-02-25,28.637563705444336
2015-02-26,29.00000762939453
2015-02-27,28.564180374145508
2015-03-02,28.704259872436523
2015-03-03,28.76430320739746
2015-03-04,28.581960678100586
2015-03-05,28.108346939086914
2015-03-06,28.150588989257812
2015-03-09,28.270662307739258
2015-03-10,27.685863494873047
2015-03-11,27.181106567382812
2015-03-12,27.672515869140625
2015-03-13,27.481292724609375
2015-03-16,27.78369903564453
2015-03-17,28.248435974121094
2015-03-18,28.56640625
2015-03-19,28.350711822509766
2015-03-20,27.994945526123047
2015-03-23,28.28622817993164
2015-03-24,28.17060661315918
2015-03-25,27.434595108032227
2015-03-26,27.625823974609375
2015-03-27,27.405696868896484
2015-03-30,28.099451065063477
2015-03-31,27.668073654174805
2015-04-01,27.628049850463867
2015-04-02,27.86597442626953
2015-04-06,28.317359924316406
2015-04-07,28.01940155029297
2015-04-08,27.9282283782959
2015-04-09,28.14169692993164
2015-04-10,28.26177215576172
2015-04-13,28.2061824798584
2015-04-14,28.083890914916992
2015-04-15,28.19061279296875
2015-04-16,28.054973602294922
2015-04-17,27.739233016967773
2015-04-20,28.372949600219727
2015-04-21,28.219518661499023
2015-04-22,28.59975242614746
2015-04-23,28.833232879638672
2015-04-24,28.968870162963867
2015-04-27,29.495864868164062
2015-04-28,29.0311279296875
2015-04-29,28.604196548461914
2015-04-30,27.82817268371582
2015-05-01,28.673131942749023
2015-05-04,28.61754608154297
2015-05-05,27.972705841064453
2015-05-06,27.79704475402832
2015-05-07,27.968976974487305
2015-05-08,28.49593162536621
2015-05-11,28.20566177368164
2015-05-12,28.10517692565918
2015-05-13,28.13644027709961
2015-05-14,28.79290199279785
2015-05-15,28.752716064453125
2015-05-18,29.06977653503418
2015-05-19,29.042985916137695
2015-05-20,29.04075050354004
2015-05-21,29.337717056274414
2015-05-22,29.59450340270996
2015-05-26,28.942501068115234
2015-05-27,29.482858657836914
2015-05-28,29.42481231689453
2015-05-29,29.089876174926758
2015-06-01,29.147926330566406
2015-06-02,29.018423080444336
2015-06-03,29.054149627685547
2015-06-04,28.88445281982422
2015-06-05,28.725914001464844
2015-06-08,28.53611946105957
2015-06-09,28.451269149780273
2015-06-10,28.77727699279785
2015-06-11,28.7125186920166
2015-06-12,28.395450592041016
2015-06-15,28.339632034301758
2015-06-16,28.491464614868164
2015-06-17,28.42447280883789
2015-06-18,28.55398941040039
2015-06-19,28.26817512512207
2015-06-22,28.493698120117188
2015-06-23,28.364198684692383
2015-06-24,28.605348587036133
2015-06-25,28.469135284423828
2015-06-26,28.301677703857422
2015-06-29,27.80597496032715
2015-06-30,28.006942749023438
2015-07-01,28.26817512512207
2015-07-02,28.232454299926758
2015-07-06,28.134206771850586
2015-07-07,28.064985275268555
2015-07-08,27.36832618713379
2015-07-09,26.81011962890625
2015-07-10,27.526866912841797
2015-07-13,28.058284759521484
2015-07-14,28.047119140625
2015-07-15,28.317304611206055
2015-07-16,28.69466209411621
2015-07-17,28.942501068115234
2015-07-20,29.489564895629883
2015-07-21,29.194822311401367
2015-07-22,27.960039138793945
2015-07-23,27.946640014648438
2015-07-24,27.799272537231445
2015-07-27,27.41298484802246
2015-07-28,27.549190521240234
2015-07-29,27.462112426757812
2015-07-30,27.32367515563965
2015-07-31,27.08475112915039
2015-08-03,26.4461612701416
2015-08-04,25.597658157348633
2015-08-05,25.767356872558594
2015-08-06,25.82343292236328
2015-08-07,25.91091537475586
2015-08-10,26.852962493896484
2015-08-11,25.455585479736328
2015-08-12,25.848106384277344
2015-08-13,25.827926635742188
2015-08-14,26.00960350036621
2015-08-17,26.278762817382812
2015-08-18,26.13072395324707
2015-08-19,25.796518325805664
2015-08-20,25.267173767089844
2015-08-21,23.72176742553711
2015-08-24,23.129613876342773
2015-08-25,23.2686824798584
2015-08-26,24.603254318237305
2015-08-27,25.327739715576172
2015-08-28,25.410724639892578
2015-08-31,25.291847229003906
2015-09-01,24.161380767822266
2015-09-02,25.197641372680664
2015-09-03,24.75577735900879
2015-09-04,24.509052276611328
2015-09-08,25.190916061401367
2015-09-09,24.70642852783203
2015-09-10,25.249231338500977
2015-09-11,25.617080688476562
2015-09-14,25.863807678222656
2015-09-15,26.081378936767578
2015-09-16,26.110532760620117
2015-09-17,25.552034378051758
2015-09-18,25.446613311767578
2015-09-21,25.84138298034668
2015-09-22,25.43539810180664
2015-09-23,25.64175796508789
2015-09-24,25.794275283813477
2015-09-25,25.729225158691406
2015-09-28,25.220069885253906
2015-09-29,24.461946487426758
2015-09-30,24.740076065063477
